date,daily_pnl,fg_value,sentiment
2023-12-14,-205.43473700000007,72,Greed
2023-12-15,-24.632033999999997,70,Greed
2023-12-17,304.982785,73,Greed
2023-12-19,1000.5386120000001,73,Greed
2023-12-20,162.732282,74,Greed
2023-12-21,537.211402,70,Greed
2023-12-22,141.832675,74,Greed
2023-12-23,146.936704,70,Greed
2023-12-24,1008.619956,71,Greed
2023-12-25,-245.081348,73,Greed
2023-12-27,-704.8892269999999,73,Greed
2023-12-28,-970.730876,73,Greed
2023-12-29,508.92214299999995,65,Greed
2023-12-30,354.998648,68,Greed
2024-01-01,-129.53146,65,Greed
2024-01-02,783.979116,71,Greed
2024-01-03,866.015507,70,Greed
2024-01-04,-67.60364,68,Greed
2024-01-05,164.141565,72,Greed
2024-01-06,135.58166400000002,70,Greed
2024-01-07,-835.681235,71,Greed
2024-01-08,-269.874439,71,Greed
2024-01-09,-826.349863,76,Extreme Greed
2024-01-10,-1517.091342,73,Greed
2024-01-11,-164.08950099999998,76,Extreme Greed
2024-01-12,-1925.519024,71,Greed
2024-01-15,152.85358,52,Neutral
2024-01-16,-2299.171458,64,Greed
2024-01-17,813.2741110000001,60,Greed
2024-01-18,68.93319,63,Greed
2024-01-19,-385.419235,51,Neutral
2024-01-20,-146.57487000000003,52,Neutral
2024-01-21,266.58114600000005,56,Greed
2024-01-22,1375.640959,55,Greed
2024-01-23,-369.2447299999998,50,Neutral
2024-01-24,-2808.353815,48,Neutral
2024-01-25,-3093.6293849999997,52,Neutral
2024-01-26,90.2,49,Neutral
2024-01-28,-2478.06972,54,Neutral
2024-01-29,486.562542,55,Greed
2024-01-30,-173.65419100000003,61,Greed
2024-01-31,-799.840817,60,Greed
2024-02-02,456.423473,63,Greed
2024-02-03,223.30918699999998,60,Greed
2024-02-04,47.62389499999999,60,Greed
2024-02-05,-33.45419400000003,60,Greed
2024-02-06,-215.615907,64,Greed
2024-02-07,241.24212,62,Greed
2024-02-08,770.756024,66,Greed
2024-02-11,983.443176,71,Greed
2024-02-12,913.8817869999998,70,Greed
2024-02-13,559.44389,79,Extreme Greed
2024-02-14,3830.599833,74,Greed
